13,35
41,7
69,33
63,38
32,21
63,53
60,49
69,54
35,8
33,3
5,13
63,68
43,59
15,39
41,55
47,54
12,25
43,70
9,47
9,21
32,55
55,58
69,61
23,5
37,8
69,55
49,63
47,68
68,37
1,5
13,34
25,29
27,59
9,15
27,2
61,42
47,65
67,59
53,45
1,26
22,7
18,33
24,3
16,5
67,66
25,45
1,16
23,41
69,60
19,32
7,35
65,64
7,31
5,16
39,1
29,43
60,47
5,27
7,17
49,54
51,65
57,69
28,37
31,63
66,37
60,55
5,26
23,32
54,49
24,43
35,61
13,15
17,35
30,15
70,43
19,33
65,49
34,15
16,7
59,57
47,14
53,51
46,69
65,60
57,63
57,57
18,37
8,41
53,61
10,19
30,21
62,53
33,23
31,17
40,1
69,32
7,13
39,11
63,55
67,58
55,63
4,15
17,34
57,36
11,9
1,7
67,53
53,48
51,69
59,39
61,43
26,43
9,37
15,3
34,65
35,19
35,68
23,0
49,5
9,4
53,59
51,70
29,69
64,69
51,60
11,13
67,44
33,60
0,1
16,1
37,66
47,11
18,29
61,58
3,19
31,61
31,4
55,51
23,28
9,14
57,56
39,18
27,11
67,42
0,33
17,46
65,53
63,39
65,43
5,12
57,47
62,47
9,0
68,61
55,62
23,39
33,18
7,11
59,38
12,51
13,14
15,16
55,53
41,61
6,23
5,29
59,43
58,45
66,25
10,27
10,3
47,46
7,20
45,69
1,27
55,65
9,3
3,7
31,11
39,53
37,62
13,10
67,47
12,35
10,13
47,69
17,3
31,60
67,55
28,9
6,3
29,40
33,63
14,13
1,21
37,15
9,16
61,51
31,58
62,49
23,7
44,63
23,29
11,12
54,69
65,63
69,46
58,53
63,50
40,17
59,58
38,63
16,9
13,31
9,2
25,41
19,26
2,31
23,6
69,58
25,39
27,3
65,33
32,57
53,47
61,37
26,17
25,62
62,33
27,39
35,63
69,49
35,13
67,57
21,1
50,63
13,39
11,3
61,57
4,19
60,45
31,68
33,67
31,23
34,19
48,63
3,13
1,31
5,17
11,5
29,19
17,29
1,35
37,63
24,5
47,13
37,2
35,6
51,48
18,5
9,36
7,27
61,61
13,33
43,43
59,66
3,27
64,53
39,10
12,5
30,19
68,33
17,31
20,29
55,67
57,61
45,65
56,33
37,69
6,39
35,3
65,44
61,36
7,37
69,42
41,69
9,13
16,37
29,58
42,63
32,65
49,49
13,30
67,43
33,70
27,43
27,13
41,66
56,45
43,69
56,49
30,7
3,11
7,24
39,3
31,67
39,61
59,55
5,33
28,11
13,25
19,37
8,25
33,9
37,7
22,39
65,67
63,41
19,29
30,27
53,49
59,51
10,25
1,19
10,31
37,68
29,62
47,37
62,59
64,65
49,65
32,25
65,34
2,13
27,41
26,3
41,8
52,49
29,68
8,11
11,8
7,2
6,19
29,21
28,33
38,3
16,41
39,15
5,23
56,57
16,31
11,19
11,35
41,21
21,11
8,37
17,5
21,30
61,45
58,59
57,54
17,50
63,45
12,39
61,53
41,68
55,40
35,10
15,15
62,67
45,47
28,35
1,23
33,17
56,43
54,53
61,65
9,8
14,29
3,24
1,6
8,13
63,49
3,9
2,5
14,31
8,31
15,35
61,69
69,30
67,52
15,38
16,33
27,69
49,39
7,30
67,65
59,56
11,28
30,11
57,39
21,38
29,5
33,68
63,57
58,51
36,15
46,65
46,61
9,31
35,5
33,66
68,51
29,13
7,22
29,11
4,29
2,35
17,30
3,14
49,70
17,13
1,20
11,22
37,65
2,11
43,61
32,13
31,13
3,17
27,19
30,17
49,67
41,67
7,5
69,56
59,44
19,24
7,33
59,32
60,51
32,17
13,9
29,25
15,31
66,47
6,9
17,2
32,9
61,31
37,14
15,1
19,6
25,43
69,37
18,3
61,63
18,15
1,25
9,6
35,4
4,25
22,3
0,13
13,41
27,5
19,1
21,4
5,9
63,35
25,34
65,47
67,49
65,61
33,69
25,36
49,47
28,61
9,25
55,69
59,59
63,69
57,38
59,68
5,31
35,67
53,69
28,17
31,5
64,47
5,4
3,22
53,66
33,13
61,67
11,11
27,40
13,43
1,15
33,2
65,50
